Store Name,Address,Phone Number
Waitrose & Partners,"98, Waitrose & Partners, 101 Marylebone High St, London W1U 4SD",020 7935 4787
Tesco Express,"67-69 Tower Bridge Rd, London SE1 4TL",0333 345 2107
Tesco Express,"125 Tooley St, London SE1 2RS",0333 345 2279
Sainsbury's Local,"Marble Arch Tower, 1-3 Marble Arch, London W1H 7EJ",0333 013 7683
Sainsbury's Local,"1 Berners St, London W1T 3LA",0333 013 7228
Sainsbury's,"15-17 Tottenham Ct Rd, London W1T 1BJ",0333 013 7001
Sainsbury's Local,"Unit 5 and 6 57-63, Charing Cross Rd, London WC2H 0NE",0333 013 7681
Sainsbury's Local,"38 Stratton St, London W1J 8LT",0333 013 7674
Sainsbury's Local,"202 Great Portland St, London W1W 5QQ",0333 013 7591
Boots,"302 Regent St., London W1B 3A",020 7637 9418
Boots,"302 Regent St., London W1B 3AS",020 7637 9418
Boots,"44-46 Regent St., London W1B 5RA",020 7734 6126
Pret A Manger,"7-8 St. Martin's Pl, London WC2N 4HA",020 7930 6222
Pret A Manger,"77-78 St Martin's Ln, London WC2N 4AA",020 7932 5213
Pret A Manger,"120-125 Strand, London WC2R 0AP",020 7240 2689
Pret A Manger,"217 Strand, Temple, London WC2R 1AT",020 7936 4839
Pret A Manger,"39 Coventry St, London W1D 6BZ",020 3272 0090
Pret A Manger,"65 Long Acre, London WC2E 9JD",020 7932 5324
Pret A Manger,"62-65 Trafalgar Sq, London WC2N 5DS",020 7932 5350
Pret A Manger,"25 Villiers St, London WC2N 6ND",020 7932 5248
Pret A Manger,"37 Shelton St, London WC2H 9HN",020 7932 5466
Pret A Manger,"87-88 Strand, London WC2R 0DW",020 7932 5455
Costa Coffee,"11 Argyll St, London W1F 7TX",0333 003 5883
Costa Coffee,"Coventry St, London W1D 6BZ",0333 003 5883
Costa Coffee,"22-24 Leicester Square, London WC2H 7JY",0333 003 5883
Costa Coffee,"200 Piccadilly, London W1J 9HU",020 7734 8780
Costa Coffee,"15 Regent St., London SW1Y 4LR",0333 003 5883
Marks and Spencer,"458 Oxford St, London W1C 1AP",020 7935 7954
Marks and Spencer,"173 Oxford St, London W1D 2JR",020 7437 7722
WHSmith,"115 Buckingham Palace Rd, London SW1W 9SJ",020 7932 0805
Waterstones,"203-206 Piccadilly, London W1J 9HD",020 7851 2400
John Lewis & Partners,"300 Oxford St, London W1C 1DX",020 7629 7711
